N_ls,N_ts,k,h_s,t_s,sigma_u,w_max,NUS_2A,NMD_2A
0,0,0.0,0.0,0.0,59.68,38.0533,1.0,1.0
2,2,2.28,57.0,25.0,221.39,3.4031,3.71,0.089
2,3,2.7,54.0,20.0,241.27,3.2469,4.043,0.085
2,4,3.8,57.0,15.0,259.03,2.0647,4.34,0.054
2,5,3.2,48.0,15.0,267.57,6.7162,4.483,0.176
3,2,3.1,62.0,20.0,302.86,5.7802,5.075,0.152
3,3,4.266,64.0,15.0,282.66,1.5962,4.736,0.042
3,4,3.466,52.0,15.0,291.5,7.0045,4.884,0.184
3,5,6.6,66.0,10.0,245.17,1.8876,4.108,0.05
4,2,4.8,72.0,15.0,341.22,2.8165,5.717,0.074
4,3,3.866,58.0,15.0,310.51,5.5516,5.203,0.146
4,4,3.2,48.0,15.0,251.92,7.266,4.221,0.191
4,5,6.1,61.0,10.0,241.83,3.2321,4.052,0.085
5,2,4.266,64.0,15.0,316.72,4.8871,5.307,0.128
5,3,3.466,52.0,15.0,256.02,6.4391,4.29,0.169
5,4,6.6,66.0,10.0,230.28,2.3378,3.859,0.061
5,5,5.7,57.0,10.0,209.67,3.1884,3.513,0.084
