N_ls,N_ts,k,h_s,t_s,sigma_u,w_max,NUS_2A,NMD_2A
0,0,0.0,0.0,0.0,59.68,38.0533,1.0,1.0
2,2,56.2,281.0,5.0,25.57,0.1573,0.428,0.004
2,2,14.1,141.0,10.0,196.18,3.6033,3.287,0.095
2,2,6.333,95.0,15.0,211.45,3.2897,3.543,0.086
2,2,3.55,71.0,20.0,219.08,3.1459,3.671,0.083
2,2,2.28,57.0,25.0,221.39,3.4031,3.71,0.089
2,2,1.6,48.0,30.0,218.76,7.6305,3.666,0.201
2,2,1.171,41.0,35.0,181.47,9.8215,3.041,0.258
2,2,0.9,36.0,40.0,154.31,9.7893,2.586,0.257
2,3,42.2,211.0,5.0,43.71,0.3346,0.732,0.009
2,3,10.6,106.0,10.0,221.4,3.6413,3.71,0.096
2,3,4.733,71.0,15.0,237.18,2.5976,3.974,0.068
2,3,2.7,54.0,20.0,241.27,3.2469,4.043,0.085
2,3,1.72,43.0,25.0,198.33,9.6213,3.323,0.253
2,3,1.2,36.0,30.0,160.86,7.6216,2.695,0.2
2,3,0.885,31.0,35.0,135.32,11.4437,2.267,0.301
2,3,0.7,28.0,40.0,123.58,12.2692,2.071,0.322
2,4,33.8,169.0,5.0,61.46,0.5566,1.03,0.015
2,4,8.5,85.0,10.0,247.48,2.7274,4.147,0.072
2,4,3.8,57.0,15.0,259.03,2.0647,4.34,0.054
2,4,2.15,43.0,20.0,218.21,3.1591,3.656,0.083
2,4,1.4,35.0,25.0,159.08,8.0753,2.666,0.212
2,4,0.966,29.0,30.0,127.67,7.9675,2.139,0.209
2,4,0.714,25.0,35.0,109.38,9.5246,1.833,0.25
2,4,0.55,22.0,40.0,98.38,16.1726,1.648,0.425
2,5,28.2,141.0,5.0,87.36,0.9085,1.464,0.024
2,5,7.1,71.0,10.0,244.46,2.6016,4.096,0.068
2,5,3.2,48.0,15.0,267.57,6.7162,4.483,0.176
2,5,1.8,36.0,20.0,174.7,9.6277,2.927,0.253
2,5,1.16,29.0,25.0,129.09,9.5314,2.163,0.25
2,5,0.8,24.0,30.0,104.59,10.1771,1.753,0.267
2,5,0.6,21.0,35.0,94.3,11.931,1.58,0.314
2,5,0.475,19.0,40.0,91.3,14.9734,1.53,0.393
3,2,48.4,242.0,5.0,30.93,0.237,0.518,0.006
3,2,12.2,122.0,10.0,261.7,1.7003,4.385,0.045
3,2,5.466,82.0,15.0,265.58,1.4849,4.45,0.039
3,2,3.1,62.0,20.0,302.86,5.7802,5.075,0.152
3,2,2.0,50.0,25.0,226.2,7.7868,3.79,0.205
3,2,1.4,42.0,30.0,178.8,9.6502,2.996,0.254
3,2,1.028,36.0,35.0,148.08,9.0417,2.481,0.238
3,2,0.8,32.0,40.0,132.12,10.2051,2.214,0.268
3,3,37.6,188.0,5.0,52.58,0.4702,0.881,0.012
3,3,9.5,95.0,10.0,268.46,2.2943,4.498,0.06
3,3,4.266,64.0,15.0,282.66,1.5962,4.736,0.042
3,3,2.4,48.0,20.0,229.37,7.2834,3.843,0.191
3,3,1.56,39.0,25.0,171.69,9.4836,2.877,0.249
3,3,1.1,33.0,30.0,144.19,7.59,2.416,0.199
3,3,0.8,28.0,35.0,118.47,11.4846,1.985,0.302
3,3,0.625,25.0,40.0,107.79,12.2732,1.806,0.323
3,4,30.8,154.0,5.0,72.94,0.7687,1.222,0.02
3,4,7.8,78.0,10.0,250.14,2.4262,4.191,0.064
3,4,3.466,52.0,15.0,291.5,7.0045,4.884,0.184
3,4,2.0,40.0,20.0,186.45,7.575,3.124,0.199
3,4,1.28,32.0,25.0,138.33,8.925,2.318,0.235
3,4,0.9,27.0,30.0,115.6,10.1654,1.937,0.267
3,4,0.657,23.0,35.0,99.82,13.8231,1.673,0.363
3,4,0.5,20.0,40.0,88.97,12.6871,1.491,0.333
3,5,26.0,130.0,5.0,101.2,1.2466,1.696,0.033
3,5,6.6,66.0,10.0,245.17,1.8876,4.108,0.05
3,5,2.933,44.0,15.0,230.08,6.7615,3.855,0.178
3,5,1.7,34.0,20.0,156.07,9.1346,2.615,0.24
3,5,1.08,27.0,25.0,116.48,9.6349,1.952,0.253
3,5,0.766,23.0,30.0,100.69,11.4499,1.687,0.301
3,5,0.571,20.0,35.0,91.46,13.5866,1.533,0.357
3,5,0.425,17.0,40.0,79.39,14.5219,1.33,0.382
4,2,42.4,212.0,5.0,40.16,0.3663,0.673,0.01
4,2,10.7,107.0,10.0,269.01,2.1677,4.508,0.057
4,2,4.8,72.0,15.0,341.22,2.8165,5.717,0.074
4,2,2.7,54.0,20.0,243.4,7.5572,4.078,0.199
4,2,1.76,44.0,25.0,182.71,9.417,3.061,0.247
4,2,1.233,37.0,30.0,148.97,8.5403,2.496,0.224
4,2,0.914,32.0,35.0,126.96,9.5712,2.127,0.252
4,2,0.7,28.0,40.0,111.87,10.9274,1.874,0.287
4,3,34.0,170.0,5.0,61.68,0.6436,1.034,0.017
4,3,8.6,86.0,10.0,251.24,2.6682,4.21,0.07
4,3,3.866,58.0,15.0,310.51,5.5516,5.203,0.146
4,3,2.2,44.0,20.0,203.1,8.647,3.403,0.227
4,3,1.4,35.0,25.0,150.76,10.9957,2.526,0.289
4,3,1.0,30.0,30.0,126.8,10.4074,2.125,0.273
4,3,0.742,26.0,35.0,108.5,11.4154,1.818,0.3
4,3,0.575,23.0,40.0,98.93,13.0772,1.658,0.344
4,4,28.2,141.0,5.0,91.21,1.1271,1.528,0.03
4,4,7.1,71.0,10.0,246.95,2.3011,4.138,0.06
4,4,3.2,48.0,15.0,251.92,7.266,4.221,0.191
4,4,1.8,36.0,20.0,155.18,7.593,2.6,0.2
4,4,1.16,29.0,25.0,118.97,8.567,1.993,0.225
4,4,0.833,25.0,30.0,105.48,13.0023,1.767,0.342
4,4,0.6,21.0,35.0,90.39,15.3108,1.515,0.402
4,4,0.475,19.0,40.0,85.62,13.2437,1.435,0.348
4,5,24.2,121.0,5.0,113.16,1.6602,1.896,0.044
4,5,6.1,61.0,10.0,241.83,3.2321,4.052,0.085
4,5,2.733,41.0,15.0,200.8,6.8984,3.365,0.181
4,5,1.55,31.0,20.0,135.65,6.0047,2.273,0.158
4,5,1.0,25.0,25.0,106.54,1.5432,1.785,0.041
4,5,0.7,21.0,30.0,90.07,11.7984,1.509,0.31
4,5,0.542,19.0,35.0,88.08,13.8178,1.476,0.363
4,5,0.4,16.0,40.0,76.19,15.9241,1.277,0.418
5,2,37.6,188.0,5.0,52.58,0.5612,0.881,0.015
5,2,9.5,95.0,10.0,262.23,1.9373,4.394,0.051
5,2,4.266,64.0,15.0,316.72,4.8871,5.307,0.128
5,2,2.4,48.0,20.0,197.78,7.6003,3.314,0.2
5,2,1.56,39.0,25.0,152.16,4.5655,2.55,0.12
5,2,1.1,33.0,30.0,125.89,9.1932,2.109,0.242
5,2,0.8,28.0,35.0,107.8,11.6975,1.806,0.307
5,2,0.625,25.0,40.0,98.38,11.3795,1.648,0.299
5,3,30.8,154.0,5.0,76.49,0.9304,1.282,0.024
5,3,7.8,78.0,10.0,250.14,2.4733,4.191,0.065
5,3,3.466,52.0,15.0,256.02,6.4391,4.29,0.169
5,3,2.0,40.0,20.0,168.51,9.4723,2.824,0.249
5,3,1.28,32.0,25.0,127.33,10.1862,2.134,0.268
