N_ls,N_ts,k,h_s,t_s,sigma_u,w_max,NUS_2A,NMD_2A
0,0,0.0,0.0,0.0,59.68,38.0533,1.0,1.0
2,2,1.171,41.0,35.0,181.47,9.8215,3.041,0.258
2,3,0.7,28.0,40.0,123.58,12.2692,2.071,0.322
2,4,0.55,22.0,40.0,98.38,16.1726,1.648,0.425
2,5,0.475,19.0,40.0,91.3,14.9734,1.53,0.393
3,2,0.8,32.0,40.0,132.12,10.2051,2.214,0.268
3,3,0.625,25.0,40.0,107.79,12.2732,1.806,0.323
3,4,0.657,23.0,35.0,99.82,13.8231,1.673,0.363
3,5,0.425,17.0,40.0,79.39,14.5219,1.33,0.382
4,2,0.7,28.0,40.0,111.87,10.9274,1.874,0.287
4,3,0.575,23.0,40.0,98.93,13.0772,1.658,0.344
4,4,0.6,21.0,35.0,90.39,15.3108,1.515,0.402
4,5,0.4,16.0,40.0,76.19,15.9241,1.277,0.418
5,2,0.8,28.0,35.0,107.8,11.6975,1.806,0.307
5,3,0.525,21.0,40.0,93.5,35.849,1.567,0.942
5,4,0.45,18.0,40.0,86.64,37.5824,1.452,0.988
5,5,0.375,15.0,40.0,80.39,40.942,1.347,1.076
