N_ls,N_ts,k,h_s,t_s,L_eq,A_eq,t_eq,TENSAO_1A,NUS_1A,TENSAO_2A,NUS_2A
0,0,0.0,0.0,0.0,1000.0,14000.0,14.0,186.46,1.0,59.68,1.0
2,2,56.2,281.0,5.0,1562.0,12610.0,8.07,31.03,0.166,25.57,0.428
2,2,14.1,141.0,10.0,1282.0,12620.0,9.84,352.9,1.893,196.18,3.287
2,2,6.333,95.0,15.0,1190.0,12650.0,10.63,325.5,1.746,211.45,3.543
2,2,3.55,71.0,20.0,1142.0,12640.0,11.07,312.62,1.677,219.08,3.671
2,2,2.28,57.0,25.0,1114.0,12650.0,11.36,304.72,1.634,221.39,3.71
2,2,1.6,48.0,30.0,1096.0,12680.0,11.57,299.08,1.604,218.76,3.666
2,2,1.171,41.0,35.0,1082.0,12670.0,11.71,296.51,1.59,181.47,3.041
2,2,0.9,36.0,40.0,1072.0,12680.0,11.83,291.8,1.565,154.31,2.586
2,3,42.2,211.0,5.0,1422.0,11910.0,8.38,50.62,0.271,43.71,0.732
2,3,10.6,106.0,10.0,1212.0,11920.0,9.83,351.32,1.884,221.41,3.71
2,3,4.733,71.0,15.0,1142.0,11930.0,10.45,331.23,1.776,237.18,3.974
2,3,2.7,54.0,20.0,1108.0,11960.0,10.79,320.56,1.719,241.27,4.043
2,3,1.72,43.0,25.0,1086.0,11950.0,11.0,314.92,1.689,198.33,3.323
2,3,1.2,36.0,30.0,1072.0,11960.0,11.16,311.38,1.67,160.86,2.695
2,3,0.885,31.0,35.0,1062.0,11970.0,11.27,296.68,1.591,135.32,2.267
2,3,0.7,28.0,40.0,1056.0,12040.0,11.4,285.95,1.534,123.58,2.071
2,4,33.8,169.0,5.0,1338.0,11490.0,8.59,76.99,0.413,61.46,1.03
2,4,8.5,85.0,10.0,1170.0,11500.0,9.83,352.04,1.888,247.48,4.147
2,4,3.8,57.0,15.0,1114.0,11510.0,10.33,335.74,1.801,259.03,4.34
2,4,2.15,43.0,20.0,1086.0,11520.0,10.61,327.49,1.756,218.21,3.656
2,4,1.4,35.0,25.0,1070.0,11550.0,10.79,317.83,1.705,159.08,2.666
2,4,0.966,29.0,30.0,1058.0,11540.0,10.91,293.82,1.576,127.67,2.139
2,4,0.714,25.0,35.0,1050.0,11550.0,11.0,266.53,1.429,109.38,1.833
2,4,0.55,22.0,40.0,1044.0,11560.0,11.07,246.84,1.324,98.38,1.648
2,5,28.2,141.0,5.0,1282.0,11210.0,8.74,105.07,0.564,87.36,1.464
2,5,7.1,71.0,10.0,1142.0,11220.0,9.82,347.44,1.863,244.46,4.096
2,5,3.2,48.0,15.0,1096.0,11240.0,10.26,334.36,1.793,267.57,4.483
2,5,1.8,36.0,20.0,1072.0,11240.0,10.49,316.25,1.696,174.7,2.927
2,5,1.16,29.0,25.0,1058.0,11250.0,10.63,286.18,1.535,129.09,2.163
2,5,0.8,24.0,30.0,1048.0,11240.0,10.73,252.89,1.356,104.59,1.753
2,5,0.6,21.0,35.0,1042.0,11270.0,10.82,236.82,1.27,94.3,1.58
2,5,0.475,19.0,40.0,1038.0,11320.0,10.91,228.22,1.224,91.3,1.53
3,2,48.4,242.0,5.0,1726.0,13430.0,7.78,38.96,0.209,30.93,0.518
3,2,12.2,122.0,10.0,1366.0,13460.0,9.85,349.76,1.876,261.7,4.385
3,2,5.466,82.0,15.0,1246.0,13490.0,10.83,320.87,1.721,265.58,4.45
3,2,3.1,62.0,20.0,1186.0,13520.0,11.4,304.74,1.634,302.86,5.075
3,2,2.0,50.0,25.0,1150.0,13550.0,11.78,294.1,1.577,226.2,3.79
3,2,1.4,42.0,30.0,1126.0,13580.0,12.06,287.89,1.544,178.81,2.996
